Employee_Number,Age,CF_age_band,Gender,Marital_Status,Department,Job_Role,Job_Level,Education,Education_Field,Total_Working_Years,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Job_Involvement,Performance_Rating,Over_Time,Business_Travel,Distance_From_Home,Training_Times_Last_Year,Num_Companies_Worked,Attrition,CF_attrition_label,CF_current_Employee,Hourly_Rate,Daily_Rate,Monthly_Rate,Employee_Count,Standard_Hours,Over18
STAFF-1094,24,Under 25,Male,Married,IT,IT Support,3,Bachelor's Degree,Other,3,2,2,2,1,10316,19,1,3,3,3,4,4,3,No,Travel_Rarely,15,2,1,Yes,Ex-Employees,0,36,700,24326,1,80,Y
STAFF-1095,24,Under 25,Female,Divorced,Finance,Accountant,3,Bachelor's Degree,Technical Degree,0,0,0,0,0,12479,17,1,4,2,2,1,1,3,Yes,Non-Travel,2,1,1,Yes,Ex-Employees,0,39,509,15747,1,80,Y
STAFF-1096,30,25 - 34,Female,Married,Sales,Manager,2,Master's Degree,Technical Degree,4,1,1,0,1,6617,5,0,2,4,2,4,4,2,Yes,Non-Travel,7,4,2,Yes,Ex-Employees,0,90,486,11976,1,80,Y
STAFF-1097,43,35 - 44,Female,Married,HR,HR Manager,2,Associates Degree,Marketing,18,14,0,0,3,10188,17,0,1,1,3,1,2,3,No,Travel_Rarely,1,3,5,No,Current Employees,1,52,881,17594,1,80,Y
STAFF-1098,37,35 - 44,Female,Married,R&D,Research Scientist,4,High School,Human Resources,9,6,1,0,2,13829,20,1,3,4,2,1,3,3,No,Travel_Rarely,20,5,1,No,Current Employees,1,52,397,20268,1,80,Y
STAFF-1099,31,25 - 34,Female,Divorced,Sales,Manager,2,Master's Degree,Technical Degree,8,0,0,0,0,8651,13,1,3,2,1,3,2,2,No,Travel_Rarely,17,2,1,No,Current Employees,1,66,1547,7181,1,80,Y
STAFF-1100,36,35 - 44,Female,Divorced,R&D,Research Scientist,1,Bachelor's Degree,Technical Degree,10,1,1,0,0,6728,13,0,1,3,3,2,3,4,No,Travel_Rarely,1,5,1,No,Current Employees,1,38,1195,22099,1,80,Y
STAFF-1101,45,45 - 54,Male,Divorced,HR,HR Manager,1,Associates Degree,Medical,24,4,4,0,2,6042,13,0,4,1,1,1,2,3,No,Travel_Rarely,4,1,2,Yes,Ex-Employees,0,69,796,15665,1,80,Y
STAFF-1102,52,45 - 54,Female,Divorced,R&D,Laboratory Technician,3,Bachelor's Degree,Technical Degree,24,2,1,0,0,11368,17,0,1,4,3,1,2,3,No,Travel_Frequently,3,6,1,Yes,Ex-Employees,0,63,721,14786,1,80,Y
STAFF-1103,20,Under 25,Male,Single,Finance,Finance Manager,1,Associates Degree,Marketing,0,0,0,0,0,8300,15,0,4,1,1,3,4,3,No,Travel_Frequently,5,4,2,Yes,Ex-Employees,0,73,614,15460,1,80,Y
STAFF-1104,18,Under 25,Male,Divorced,Marketing,Content Creator,3,PhD,Technical Degree,0,0,0,0,0,12744,11,3,1,3,3,4,4,3,No,Non-Travel,8,6,2,No,Current Employees,1,37,123,22258,1,80,Y
STAFF-1105,50,45 - 54,Female,Married,Finance,Accountant,3,Associates Degree,Other,29,6,4,0,2,11764,18,0,2,1,3,1,1,4,No,Travel_Frequently,1,4,1,Yes,Ex-Employees,0,84,928,8288,1,80,Y
STAFF-1106,23,Under 25,Male,Single,HR,HR Manager,3,Master's Degree,Life Sciences,0,0,0,0,0,9320,7,0,4,2,2,4,4,3,No,Travel_Frequently,1,6,1,No,Current Employees,1,88,1328,9471,1,80,Y
STAFF-1107,39,35 - 44,Female,Divorced,HR,HR Specialist,1,Bachelor's Degree,Life Sciences,20,10,6,0,0,8717,13,0,2,1,1,2,3,4,Yes,Non-Travel,3,2,1,No,Current Employees,1,66,666,21089,1,80,Y
STAFF-1108,29,25 - 34,Male,Married,Marketing,Content Creator,1,Master's Degree,Human Resources,8,0,0,0,0,6538,18,0,3,3,2,2,1,2,No,Travel_Rarely,10,4,5,No,Current Employees,1,80,585,15365,1,80,Y
STAFF-1109,44,35 - 44,Female,Divorced,Marketing,Content Creator,1,Bachelor's Degree,Technical Degree,23,1,1,0,0,3657,15,0,4,4,3,1,1,4,No,Non-Travel,1,0,1,Yes,Ex-Employees,0,87,977,9288,1,80,Y
STAFF-1110,53,45 - 54,Male,Single,Marketing,Marketing Specialist,2,Associates Degree,Marketing,28,1,0,0,1,8749,13,1,3,1,2,4,1,3,No,Travel_Frequently,11,4,4,Yes,Ex-Employees,0,57,809,11189,1,80,Y
STAFF-1111,40,35 - 44,Male,Married,IT,Data Analyst,1,High School,Medical,11,0,0,0,0,5392,19,2,4,4,4,3,3,3,No,Travel_Frequently,1,4,3,No,Current Employees,1,30,1331,21569,1,80,Y
STAFF-1112,35,35 - 44,Male,Single,R&D,Research Scientist,2,High School,Medical,10,6,4,0,1,8978,13,0,4,2,4,3,3,4,No,Travel_Frequently,14,4,1,No,Current Employees,1,61,745,15415,1,80,Y
STAFF-1113,46,45 - 54,Female,Single,HR,HR Specialist,2,Master's Degree,Other,19,2,1,0,2,7885,13,0,4,3,4,4,3,1,Yes,Non-Travel,5,0,1,No,Current Employees,1,94,1147,13256,1,80,Y
STAFF-1114,39,35 - 44,Female,Single,Sales,Sales Representative,2,Master's Degree,Technical Degree,11,4,4,0,4,9812,20,1,2,1,4,2,1,3,No,Travel_Frequently,5,3,1,No,Current Employees,1,65,627,18268,1,80,Y
STAFF-1115,18,Under 25,Male,Married,R&D,Manufacturing Director,2,Bachelor's Degree,Medical,0,0,0,0,0,9259,14,3,3,4,4,3,4,3,No,Travel_Rarely,17,4,2,Yes,Ex-Employees,0,41,836,11446,1,80,Y
STAFF-1116,21,Under 25,Male,Divorced,Marketing,Marketing Specialist,1,Associates Degree,Human Resources,0,0,0,0,0,5078,10,0,3,1,1,2,1,2,Yes,Travel_Rarely,4,1,1,Yes,Ex-Employees,0,103,479,20083,1,80,Y
STAFF-1117,41,35 - 44,Male,Divorced,Sales,Sales Representative,1,Associates Degree,Other,16,3,3,3,0,7251,11,0,1,2,3,4,2,3,No,Non-Travel,17,6,1,Yes,Ex-Employees,0,64,1084,16593,1,80,Y
STAFF-1118,24,Under 25,Female,Divorced,IT,Software Engineer,1,Bachelor's Degree,Human Resources,5,3,1,1,2,6163,11,0,1,4,2,2,2,4,Yes,Travel_Rarely,4,5,3,Yes,Ex-Employees,0,57,227,15694,1,80,Y
STAFF-1119,42,35 - 44,Male,Single,R&D,Healthcare Representative,2,Bachelor's Degree,Life Sciences,21,0,0,0,0,9859,15,0,3,2,4,4,3,3,No,Travel_Rarely,2,5,1,No,Current Employees,1,50,292,12927,1,80,Y
STAFF-1120,45,45 - 54,Male,Divorced,HR,Recruiter,2,Bachelor's Degree,Other,17,0,0,0,0,9045,15,0,2,1,4,4,3,4,No,Travel_Rarely,2,1,2,No,Current Employees,1,30,496,20934,1,80,Y
STAFF-1121,27,25 - 34,Male,Divorced,Marketing,Content Creator,1,High School,Technical Degree,0,0,0,0,0,7831,16,0,4,4,2,4,2,4,No,Travel_Frequently,1,0,2,Yes,Ex-Employees,0,68,684,11336,1,80,Y
STAFF-1122,24,Under 25,Female,Single,HR,HR Manager,2,Master's Degree,Technical Degree,5,2,0,0,2,8627,22,0,2,1,2,2,1,2,Yes,Travel_Rarely,8,4,2,Yes,Ex-Employees,0,47,716,15793,1,80,Y
STAFF-1123,49,45 - 54,Female,Divorced,Sales,Sales Representative,1,Master's Degree,Life Sciences,23,0,0,0,0,9857,17,1,3,4,2,4,1,4,No,Non-Travel,6,5,1,Yes,Ex-Employees,0,72,1549,15147,1,80,Y
STAFF-1124,48,45 - 54,Female,Married,Marketing,Marketing Manager,2,PhD,Life Sciences,28,9,1,0,8,10085,18,1,2,2,1,4,4,3,No,Travel_Frequently,3,0,1,No,Current Employees,1,67,1080,17922,1,80,Y
STAFF-1125,24,Under 25,Female,Married,Sales,Sales Executive,2,Bachelor's Degree,Marketing,0,0,0,0,0,11629,17,0,2,1,2,2,2,3,No,Travel_Rarely,1,6,1,Yes,Ex-Employees,0,70,495,13961,1,80,Y
STAFF-1126,24,Under 25,Female,Married,Marketing,Marketing Manager,2,Master's Degree,Other,5,1,1,0,1,9307,13,0,3,4,2,2,4,3,No,Travel_Frequently,4,1,1,Yes,Ex-Employees,0,82,385,16562,1,80,Y
STAFF-1127,32,25 - 34,Male,Single,Marketing,Marketing Manager,2,High School,Life Sciences,3,2,2,0,0,9025,12,1,3,4,1,4,4,3,No,Non-Travel,1,1,1,No,Current Employees,1,67,663,13143,1,80,Y
STAFF-1128,33,25 - 34,Male,Single,Marketing,Content Creator,2,Master's Degree,Other,1,1,1,1,1,10423,26,1,3,3,1,1,4,2,No,Travel_Frequently,1,1,2,Yes,Ex-Employees,0,76,733,16927,1,80,Y
STAFF-1129,34,25 - 34,Male,Married,Finance,Accountant,2,Associates Degree,Human Resources,6,0,0,0,0,10486,16,2,1,2,1,2,2,3,No,Travel_Frequently,8,5,1,No,Current Employees,1,61,559,15947,1,80,Y
STAFF-1130,36,35 - 44,Male,Married,HR,HR Manager,2,Bachelor's Degree,Human Resources,14,0,0,0,0,11009,20,1,1,1,4,1,4,3,No,Non-Travel,4,5,2,No,Current Employees,1,42,1109,12864,1,80,Y
STAFF-1131,33,25 - 34,Female,Married,Marketing,Marketing Specialist,2,PhD,Human Resources,6,5,0,0,1,10477,16,0,2,2,1,2,4,4,No,Non-Travel,5,6,5,Yes,Ex-Employees,0,89,1072,7627,1,80,Y
STAFF-1132,20,Under 25,Male,Married,Sales,Manager,2,Master's Degree,Life Sciences,0,0,0,0,0,7209,19,1,2,4,4,3,2,4,No,Travel_Rarely,22,0,1,No,Current Employees,1,30,840,17099,1,80,Y
STAFF-1133,35,35 - 44,Female,Single,Finance,Accountant,1,Master's Degree,Human Resources,8,3,3,0,3,8310,16,0,3,4,2,2,2,2,No,Non-Travel,20,2,1,Yes,Ex-Employees,0,42,682,22932,1,80,Y
STAFF-1134,26,25 - 34,Female,Divorced,IT,Data Analyst,4,High School,Other,11,2,0,0,0,15659,27,1,1,3,3,4,2,4,Yes,Non-Travel,4,0,3,No,Current Employees,1,82,1096,21440,1,80,Y
STAFF-1135,41,35 - 44,Female,Single,IT,IT Support,2,Bachelor's Degree,Other,14,1,1,1,0,8111,9,0,1,3,4,2,3,3,No,Travel_Rarely,19,6,5,No,Current Employees,1,65,874,18057,1,80,Y
STAFF-1136,33,25 - 34,Male,Single,Sales,Sales Representative,1,Bachelor's Degree,Marketing,15,1,0,0,1,6304,13,0,1,3,2,2,1,3,No,Travel_Rarely,20,5,1,Yes,Ex-Employees,0,55,1300,25975,1,80,Y
STAFF-1137,38,35 - 44,Female,Single,Marketing,Marketing Manager,3,Bachelor's Degree,Technical Degree,16,2,1,1,2,10929,22,1,3,3,3,2,4,3,No,Non-Travel,4,0,1,No,Current Employees,1,85,826,13917,1,80,Y
STAFF-1138,36,35 - 44,Female,Divorced,HR,HR Specialist,2,Master's Degree,Other,6,6,0,0,4,10443,11,3,1,3,3,3,2,4,No,Travel_Frequently,1,1,1,No,Current Employees,1,72,330,17560,1,80,Y
STAFF-1139,38,35 - 44,Female,Married,Marketing,Marketing Manager,1,Associates Degree,Medical,18,3,2,1,2,5620,9,3,3,4,4,3,1,3,Yes,Travel_Frequently,3,0,5,No,Current Employees,1,78,993,9225,1,80,Y
STAFF-1140,42,35 - 44,Female,Married,HR,HR Specialist,1,Bachelor's Degree,Medical,17,0,0,0,0,7412,16,0,1,1,1,2,2,3,Yes,Non-Travel,22,4,2,No,Current Employees,1,46,1267,16119,1,80,Y
STAFF-1141,31,25 - 34,Male,Divorced,Marketing,Marketing Specialist,1,Associates Degree,Medical,11,1,1,0,1,7071,12,3,2,2,1,4,3,3,No,Travel_Frequently,51,1,1,Yes,Ex-Employees,0,42,462,5000,1,80,Y
STAFF-1142,45,45 - 54,Male,Divorced,R&D,Manufacturing Director,3,Bachelor's Degree,Marketing,9,2,0,0,0,10037,19,0,4,3,4,1,1,4,Yes,Travel_Rarely,3,1,2,No,Current Employees,1,84,625,10071,1,80,Y
STAFF-1143,33,25 - 34,Male,Divorced,R&D,Laboratory Technician,1,Associates Degree,Life Sciences,6,5,2,2,0,4474,15,2,1,1,1,2,1,3,Yes,Travel_Frequently,5,2,3,No,Current Employees,1,73,121,25226,1,80,Y
STAFF-1144,47,45 - 54,Male,Divorced,Marketing,Content Creator,1,Bachelor's Degree,Life Sciences,29,0,0,0,0,7124,4,0,1,2,2,4,4,3,No,Travel_Rarely,17,1,1,Yes,Ex-Employees,0,52,1285,20208,1,80,Y
STAFF-1145,49,45 - 54,Male,Single,Marketing,Marketing Manager,2,Master's Degree,Medical,18,2,2,0,1,9209,14,2,4,2,2,1,1,2,Yes,Travel_Rarely,3,3,1,Yes,Ex-Employees,0,67,846,12521,1,80,Y
STAFF-1146,30,25 - 34,Female,Married,R&D,Manufacturing Director,2,Associates Degree,Medical,13,0,0,0,0,12780,5,2,4,3,2,3,4,1,Yes,Non-Travel,2,3,1,Yes,Ex-Employees,0,46,488,9136,1,80,Y
STAFF-1147,18,Under 25,Male,Single,Sales,Sales Representative,2,Bachelor's Degree,Technical Degree,0,0,0,0,0,10556,20,0,2,2,2,1,4,3,No,Travel_Rarely,2,5,1,Yes,Ex-Employees,0,75,753,20442,1,80,Y
STAFF-1148,18,Under 25,Male,Single,Marketing,Marketing Specialist,1,Bachelor's Degree,Technical Degree,0,0,0,0,0,8382,15,1,4,3,4,1,4,1,No,Travel_Frequently,5,5,3,Yes,Ex-Employees,0,78,1027,17522,1,80,Y
STAFF-1149,57,Over 55,Female,Divorced,Finance,Accountant,3,Bachelor's Degree,Marketing,35,1,1,1,0,11188,14,2,1,2,4,1,4,2,No,Non-Travel,5,6,3,No,Current Employees,1,117,772,11581,1,80,Y
STAFF-1150,42,35 - 44,Female,Married,IT,Data Analyst,2,Associates Degree,Medical,13,3,1,1,0,8584,15,0,3,3,3,4,3,3,No,Travel_Frequently,6,3,8,No,Current Employees,1,38,502,23605,1,80,Y
STAFF-1151,31,25 - 34,Female,Single,HR,HR Manager,2,Associates Degree,Marketing,15,1,0,0,0,8382,11,0,2,1,3,4,3,3,No,Travel_Rarely,19,0,2,No,Current Employees,1,111,1311,23578,1,80,Y
STAFF-1152,39,35 - 44,Female,Married,HR,Recruiter,2,Associates Degree,Marketing,17,0,0,0,0,8353,20,0,1,1,3,3,3,3,Yes,Travel_Rarely,1,4,2,Yes,Ex-Employees,0,83,417,5000,1,80,Y
STAFF-1153,47,45 - 54,Male,Divorced,Sales,Manager,1,High School,Life Sciences,31,3,1,1,3,7167,11,1,1,1,2,2,3,3,No,Travel_Rarely,8,5,1,No,Current Employees,1,63,414,22958,1,80,Y
STAFF-1154,31,25 - 34,Female,Divorced,IT,Software Engineer,1,Bachelor's Degree,Human Resources,9,5,0,0,2,6525,9,0,2,1,1,2,3,4,No,Travel_Frequently,9,1,1,Yes,Ex-Employees,0,63,678,11757,1,80,Y
STAFF-1155,45,45 - 54,Female,Married,R&D,Healthcare Representative,2,Associates Degree,Other,25,3,0,0,0,6695,13,0,1,2,4,1,3,3,No,Travel_Frequently,14,4,1,No,Current Employees,1,58,542,15069,1,80,Y
STAFF-1156,34,25 - 34,Male,Married,Sales,Manager,1,Bachelor's Degree,Other,16,1,0,0,1,6940,15,2,2,1,1,3,2,3,No,Travel_Rarely,2,2,1,Yes,Ex-Employees,0,75,310,25325,1,80,Y
STAFF-1157,51,45 - 54,Male,Married,Finance,Finance Manager,1,Bachelor's Degree,Life Sciences,37,4,0,0,1,7708,23,0,2,3,2,4,3,3,Yes,Travel_Frequently,1,2,1,Yes,Ex-Employees,0,58,976,10727,1,80,Y
STAFF-1158,50,45 - 54,Female,Single,HR,HR Manager,2,Master's Degree,Marketing,22,0,0,0,0,8392,21,0,4,2,4,4,4,3,No,Non-Travel,1,6,3,No,Current Employees,1,67,1004,14375,1,80,Y
STAFF-1159,33,25 - 34,Female,Married,HR,HR Specialist,1,Associates Degree,Life Sciences,12,0,0,0,0,6342,11,1,1,1,2,1,1,2,Yes,Travel_Frequently,1,3,8,Yes,Ex-Employees,0,47,977,15784,1,80,Y
STAFF-1160,26,25 - 34,Male,Single,Sales,Sales Executive,2,Bachelor's Degree,Marketing,9,5,4,2,3,7426,11,0,4,3,2,2,2,4,Yes,Travel_Frequently,9,4,1,Yes,Ex-Employees,0,76,578,12507,1,80,Y
STAFF-1161,47,45 - 54,Female,Single,R&D,Manufacturing Director,4,High School,Other,23,0,0,0,0,12061,17,1,4,2,4,2,4,4,No,Travel_Frequently,7,0,4,No,Current Employees,1,30,798,18331,1,80,Y
STAFF-1162,37,35 - 44,Male,Divorced,HR,Recruiter,1,Associates Degree,Technical Degree,9,2,1,1,1,6490,18,0,4,3,3,1,3,3,No,Non-Travel,5,3,5,Yes,Ex-Employees,0,73,695,19093,1,80,Y
STAFF-1163,35,35 - 44,Female,Married,HR,Recruiter,2,Associates Degree,Technical Degree,6,5,1,1,3,8422,27,3,4,4,4,3,1,3,Yes,Travel_Frequently,1,4,1,No,Current Employees,1,82,782,13469,1,80,Y
STAFF-1164,50,45 - 54,Male,Divorced,Sales,Sales Representative,1,High School,Medical,28,1,1,1,0,3530,18,0,2,4,4,2,3,3,No,Non-Travel,7,3,2,Yes,Ex-Employees,0,67,615,11391,1,80,Y
STAFF-1165,42,35 - 44,Female,Divorced,Sales,Sales Executive,1,Associates Degree,Other,16,2,2,0,0,7745,11,2,1,4,1,1,1,3,No,Non-Travel,1,2,1,Yes,Ex-Employees,0,65,1384,16157,1,80,Y
STAFF-1166,33,25 - 34,Female,Divorced,Marketing,Content Creator,2,Bachelor's Degree,Marketing,15,1,0,0,1,10119,13,0,1,2,3,1,4,3,No,Non-Travel,1,0,1,No,Current Employees,1,92,831,18710,1,80,Y
STAFF-1167,32,25 - 34,Male,Married,IT,Data Analyst,1,PhD,Technical Degree,9,0,0,0,0,7333,15,0,3,3,4,2,2,3,Yes,Non-Travel,1,5,3,Yes,Ex-Employees,0,60,1759,12189,1,80,Y
STAFF-1168,41,35 - 44,Male,Single,IT,Data Analyst,1,Master's Degree,Marketing,12,3,0,0,1,4614,15,1,1,3,4,2,3,3,Yes,Travel_Rarely,34,0,2,No,Current Employees,1,50,731,20949,1,80,Y
STAFF-1169,18,Under 25,Male,Married,Finance,Financial Analyst,3,Bachelor's Degree,Other,0,0,0,0,0,11431,26,0,2,4,4,1,4,2,Yes,Travel_Rarely,5,5,1,No,Current Employees,1,61,1415,13197,1,80,Y
STAFF-1170,18,Under 25,Female,Married,R&D,Manufacturing Director,4,High School,Medical,0,0,0,0,0,11592,3,2,2,2,4,1,4,4,Yes,Travel_Frequently,6,6,1,Yes,Ex-Employees,0,55,855,18679,1,80,Y
STAFF-1171,37,35 - 44,Male,Married,Marketing,Content Creator,1,Bachelor's Degree,Life Sciences,19,0,0,0,0,8874,16,0,3,2,1,3,3,3,No,Non-Travel,5,4,1,No,Current Employees,1,42,874,20572,1,80,Y
STAFF-1172,22,Under 25,Female,Divorced,R&D,Research Scientist,2,High School,Human Resources,0,0,0,0,0,9635,19,0,1,4,3,1,2,4,No,Non-Travel,10,6,1,No,Current Employees,1,93,652,14359,1,80,Y
STAFF-1173,33,25 - 34,Male,Single,Marketing,Content Creator,2,High School,Marketing,5,5,0,0,1,5863,20,0,4,1,4,3,4,3,No,Travel_Rarely,3,3,1,No,Current Employees,1,30,1612,13388,1,80,Y
STAFF-1174,37,35 - 44,Male,Married,Marketing,Marketing Specialist,1,Master's Degree,Medical,18,0,0,0,0,6540,16,0,1,1,2,4,2,3,No,Non-Travel,1,6,1,No,Current Employees,1,83,532,16581,1,80,Y
STAFF-1175,41,35 - 44,Female,Married,IT,IT Support,3,Associates Degree,Technical Degree,22,8,1,1,7,10741,14,0,2,4,1,4,4,2,No,Non-Travel,1,2,1,No,Current Employees,1,52,842,10984,1,80,Y
STAFF-1176,37,35 - 44,Female,Married,IT,Software Engineer,1,PhD,Medical,12,2,0,0,0,5917,16,1,2,2,1,2,4,2,No,Travel_Rarely,5,6,1,Yes,Ex-Employees,0,74,1013,19674,1,80,Y
STAFF-1177,32,25 - 34,Male,Single,IT,IT Support,3,Master's Degree,Technical Degree,16,0,0,0,0,9651,14,3,4,4,1,1,2,3,No,Non-Travel,13,6,2,Yes,Ex-Employees,0,66,368,11994,1,80,Y
STAFF-1178,29,25 - 34,Female,Single,Finance,Accountant,1,Master's Degree,Medical,2,0,0,0,0,5700,8,1,3,3,1,2,4,1,Yes,Non-Travel,2,6,5,No,Current Employees,1,84,1421,20544,1,80,Y
STAFF-1179,32,25 - 34,Female,Divorced,HR,Recruiter,1,Master's Degree,Medical,6,0,0,0,0,7267,21,0,3,4,3,3,3,3,Yes,Non-Travel,1,5,1,No,Current Employees,1,68,767,21421,1,80,Y
STAFF-1180,19,Under 25,Male,Single,Marketing,Content Creator,3,High School,Marketing,0,0,0,0,0,12911,3,1,1,3,3,3,4,3,Yes,Travel_Frequently,2,4,1,Yes,Ex-Employees,0,82,943,18483,1,80,Y
STAFF-1181,21,Under 25,Female,Divorced,HR,HR Manager,1,High School,Life Sciences,2,2,0,0,1,6847,6,0,2,1,4,4,2,4,Yes,Travel_Frequently,15,4,1,No,Current Employees,1,33,435,18288,1,80,Y
STAFF-1182,50,45 - 54,Male,Married,Finance,Financial Analyst,4,Bachelor's Degree,Other,28,2,0,0,1,13015,10,3,3,2,4,1,1,3,Yes,Non-Travel,2,5,1,No,Current Employees,1,71,531,18774,1,80,Y
STAFF-1183,40,35 - 44,Male,Single,R&D,Manufacturing Director,3,Associates Degree,Marketing,12,0,0,0,0,10428,20,2,2,3,4,3,4,3,No,Travel_Rarely,3,0,2,No,Current Employees,1,59,990,11527,1,80,Y
STAFF-1184,39,35 - 44,Female,Married,R&D,Manufacturing Director,2,Bachelor's Degree,Technical Degree,9,0,0,0,0,10436,6,0,1,1,2,3,2,4,No,Travel_Frequently,1,2,1,Yes,Ex-Employees,0,88,1004,13615,1,80,Y
STAFF-1185,44,35 - 44,Male,Divorced,HR,HR Manager,1,Associates Degree,Other,26,0,0,0,0,4816,20,2,4,4,2,2,4,2,Yes,Travel_Rarely,3,5,1,Yes,Ex-Employees,0,50,542,15828,1,80,Y
STAFF-1186,27,25 - 34,Male,Divorced,Sales,Sales Representative,1,Master's Degree,Medical,20,3,0,0,0,8325,14,0,1,3,4,4,4,4,No,Non-Travel,7,6,1,No,Current Employees,1,64,1266,11233,1,80,Y
STAFF-1187,37,35 - 44,Male,Single,R&D,Healthcare Representative,2,Master's Degree,Technical Degree,28,3,1,1,1,8323,22,2,1,1,3,4,2,3,No,Non-Travel,13,3,2,No,Current Employees,1,69,874,13355,1,80,Y
STAFF-1188,32,25 - 34,Male,Divorced,HR,Recruiter,2,Associates Degree,Other,20,4,0,0,3,8634,12,2,4,2,3,3,3,3,No,Travel_Frequently,1,6,1,No,Current Employees,1,44,574,18102,1,80,Y
STAFF-1189,22,Under 25,Male,Divorced,HR,Recruiter,1,Bachelor's Degree,Other,0,0,0,0,0,8999,0,0,2,1,3,3,1,2,No,Non-Travel,3,3,1,Yes,Ex-Employees,0,99,626,16322,1,80,Y
STAFF-1190,34,25 - 34,Female,Divorced,R&D,Manufacturing Director,2,Associates Degree,Life Sciences,15,15,0,0,0,9373,10,1,4,2,4,1,2,4,No,Travel_Rarely,2,2,1,Yes,Ex-Employees,0,59,709,16708,1,80,Y
STAFF-1191,44,35 - 44,Female,Married,IT,IT Support,1,Bachelor's Degree,Human Resources,30,10,0,0,0,7377,26,0,1,4,1,3,4,3,No,Travel_Rarely,16,5,2,No,Current Employees,1,81,586,14276,1,80,Y
STAFF-1192,21,Under 25,Female,Single,HR,HR Specialist,3,Bachelor's Degree,Other,3,3,3,0,1,12742,18,0,4,2,3,4,1,3,No,Travel_Frequently,2,2,2,Yes,Ex-Employees,0,61,1417,25624,1,80,Y
STAFF-1193,35,35 - 44,Female,Divorced,Finance,Finance Manager,1,High School,Marketing,10,1,1,1,1,7162,12,0,1,3,4,2,3,3,No,Travel_Frequently,22,1,1,Yes,Ex-Employees,0,48,1107,13317,1,80,Y
STAFF-1194,32,25 - 34,Male,Single,HR,HR Specialist,2,Bachelor's Degree,Technical Degree,19,0,0,0,0,7107,11,1,3,2,2,3,3,3,No,Travel_Frequently,1,1,4,No,Current Employees,1,80,978,14313,1,80,Y
STAFF-1195,34,25 - 34,Female,Divorced,IT,IT Support,2,Bachelor's Degree,Technical Degree,16,7,2,0,2,9470,12,0,1,2,3,3,1,2,No,Non-Travel,25,2,1,Yes,Ex-Employees,0,66,1097,18703,1,80,Y
STAFF-1196,38,35 - 44,Male,Divorced,Finance,Accountant,4,Associates Degree,Life Sciences,11,0,0,0,0,12735,21,0,4,2,1,2,2,2,Yes,Non-Travel,16,2,1,Yes,Ex-Employees,0,93,558,17652,1,80,Y
STAFF-1197,37,35 - 44,Female,Divorced,Marketing,Marketing Specialist,1,Master's Degree,Medical,10,1,0,0,1,8297,15,3,3,4,4,4,3,4,No,Travel_Rarely,1,1,1,No,Current Employees,1,55,835,19541,1,80,Y
STAFF-1198,49,45 - 54,Female,Single,IT,Data Analyst,2,Associates Degree,Marketing,29,3,3,1,2,8377,6,0,2,1,3,3,1,4,No,Travel_Frequently,10,6,1,Yes,Ex-Employees,0,49,440,10244,1,80,Y
STAFF-1199,44,35 - 44,Female,Divorced,Marketing,Marketing Specialist,2,Associates Degree,Life Sciences,23,15,0,0,5,10268,13,1,1,1,2,4,1,3,No,Travel_Rarely,2,2,2,Yes,Ex-Employees,0,70,939,7838,1,80,Y
STAFF-1200,33,25 - 34,Female,Married,Marketing,Marketing Manager,2,Bachelor's Degree,Other,21,0,0,0,0,4982,12,1,1,3,3,3,2,3,No,Travel_Frequently,12,2,2,No,Current Employees,1,47,837,16944,1,80,Y
STAFF-1201,36,35 - 44,Female,Divorced,R&D,Healthcare Representative,2,Bachelor's Degree,Human Resources,16,0,0,0,0,8639,15,0,1,3,4,2,2,3,No,Travel_Rarely,3,0,1,Yes,Ex-Employees,0,69,536,10935,1,80,Y
STAFF-1202,30,25 - 34,Male,Married,IT,IT Support,4,Master's Degree,Medical,4,1,1,1,0,11740,12,1,1,1,1,3,4,4,No,Non-Travel,8,3,1,Yes,Ex-Employees,0,36,669,16101,1,80,Y
STAFF-1203,35,35 - 44,Male,Single,HR,Recruiter,2,Associates Degree,Other,17,6,0,0,0,11319,21,0,4,3,2,2,1,3,No,Travel_Rarely,1,0,2,Yes,Ex-Employees,0,33,961,16902,1,80,Y
STAFF-1204,31,25 - 34,Female,Married,Finance,Financial Analyst,1,Bachelor's Degree,Marketing,0,0,0,0,0,8991,13,0,2,3,1,4,4,3,No,Non-Travel,12,3,1,Yes,Ex-Employees,0,53,995,14676,1,80,Y
STAFF-1205,30,25 - 34,Male,Married,Finance,Accountant,2,Master's Degree,Other,9,7,1,1,1,10159,13,0,3,4,3,3,1,3,Yes,Travel_Frequently,5,2,1,Yes,Ex-Employees,0,30,1518,14901,1,80,Y
STAFF-1206,28,25 - 34,Male,Married,Sales,Sales Executive,2,Associates Degree,Life Sciences,3,0,0,0,0,9813,16,0,1,2,3,4,2,3,Yes,Non-Travel,8,6,1,Yes,Ex-Employees,0,72,789,26101,1,80,Y
STAFF-1207,37,35 - 44,Female,Single,IT,IT Support,2,Master's Degree,Medical,17,0,0,0,0,8873,18,0,4,1,2,2,1,3,No,Travel_Frequently,15,2,3,No,Current Employees,1,42,546,12626,1,80,Y
